observationId,metricId,valueDate,value,unit,sourceDefinitionId,releaseAvailableAt,revisionSequence,supersedesObservationId,rawArtifactId
obs-pbc-446b812a6df4b4c6848108c9b8b27478ef9c9b00d25e4ab3226d7dcbb8d4617a,MACRO_AFRE_STOCK_BALANCE,2018-06,186.53490000000002,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-79a0f5c50a9baa29629e9a8f3b8403ee6f176142c7c2150c09ad5dac063a7d81,artifact-r2-9d4c88a78053180952e9571e2df685d354852a0a699d6af1808c535a397d06da
obs-pbc-d717d5d463ac5a81487a11a9bf7e1a84e9ca0cfe3ea61a629aa9efe1d862a0e6,MACRO_AFRE_STOCK_BALANCE,2018-06,192.3668,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-446b812a6df4b4c6848108c9b8b27478ef9c9b00d25e4ab3226d7dcbb8d4617a,artifact-r2-0b0077c50b863c1887e84f793fca21e4fa29e00d6bedf51aa28d17bb53ff6232
obs-pbc-57b004790034b1461703196fcd5c173351bdd91324b7c8bc6975abd5a935ff3b,MACRO_AFRE_STOCK_BALANCE,2018-06,192.81810000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-d717d5d463ac5a81487a11a9bf7e1a84e9ca0cfe3ea61a629aa9efe1d862a0e6,artifact-r2-e53da09115ff41334dec261e0894a94012ee08169476dc58bc993907cb681c82
obs-pbc-86379882164a35dbb2f1d38c6df8196a369e7e593cc4903cead0da42e35175af,MACRO_AFRE_STOCK_BALANCE,2018-07,193.46040000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,1,obs-pbc-1dae47a9c41a3f714037b09674f26e20f130bca162306d3eb8757c074f6f25b6,artifact-r2-c40b4eba8b37b220678dc12df3135b3d502032f89077bf19b268cc3ee379974e
obs-pbc-ea4fff33ee6665da7a759b095126df96e4dba77eaad622ef14b8a33b6751c9e7,MACRO_AFRE_STOCK_BALANCE,2018-07,193.9111,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,2,obs-pbc-86379882164a35dbb2f1d38c6df8196a369e7e593cc4903cead0da42e35175af,artifact-r2-d9ad1e4fe587ae8a7ce4c1dd8715a686963a29c57983f001e122a0b1ccf4eafa
obs-pbc-ab877ce9fc334286f1bed10f2070f5b26f5eb900b48fd928358c718e41a73acd,MACRO_AFRE_STOCK_BALANCE,2018-08,195.24110000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,1,obs-pbc-27d644665e87682fccf20f7e5161ddd402904fef5253cb42db4bc28ce8bdf871,artifact-r2-02251dbe9303687ca9ee0753ab8909ed629316745124d2de1b764b833f665e34
obs-pbc-a519e37f15a274e87ad74837b078fdf9a6d7977b6cc72e20078314b6ff8c7e7c,MACRO_AFRE_STOCK_BALANCE,2018-08,195.7057,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,2,obs-pbc-ab877ce9fc334286f1bed10f2070f5b26f5eb900b48fd928358c718e41a73acd,artifact-r2-f376cf119a8c2c5e62226cdced0e54fcbc5c4105cc114b4d0e8787f8de1dbb0a
obs-pbc-183f5585e9ad2fafc7e0617e1615f7961382147989c1bf314c263030873e4c3c,MACRO_AFRE_STOCK_BALANCE,2018-09,197.6969,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-a33f2324741db2096111bc9a6d81e934af069b8be2ade8bdd0a75856a9d2a798,artifact-r2-b0f06ef9e9123ac49fb7938cd1c12e683a254b870a2d47f266cc0dd38f746fba
obs-pbc-f526757a2891a789550af4f73a34c5948d97e2c18b763a2495f63b8184672a42,MACRO_AFRE_STOCK_BALANCE,2018-10,198.3246,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-a71d06b0bc3c4ca199b4156dbe2c21f8a203c4949b0e20bf8ead7932a02f7e08,artifact-r2-88cb2a71f2c2416e4502d72db1e76c4c52b4e45768a61a808c4a7b3447f50a31
obs-pbc-60c3f8e227c34839e41a1edf7bc9f01c66de91aaa7beb2f174b7d09c7ecd1e2e,MACRO_AFRE_STOCK_BALANCE,2018-11,199.80800000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-b4a2dfed1e3f1d5f6e8d806c437508f6661f1c3ae69c32cb80aecd325c2ca2ce,artifact-r2-b21bd83858d3ffa4526543714bc2899d6aaaf456b53cbc458b3672d3b07ae22f
obs-pbc-5e4e31feab3ecf93604da33bf313e59cad631f359a28514de922ae7def98c6d3,MACRO_AFRE_STOCK_BALANCE,2018-12,201.2958,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-a75409d106cf08acff153b9c199ea9d8a240b0503d0dcb4168b0e8cc22720d7a,artifact-r2-48dd94eb2eca304b33989ccaf5c68b0557722bb240082ff5017745f5ddf814bd
obs-pbc-2eae8af9a163f10e0791162924f427007a1406bf79436ffcce00652243e8e676,MACRO_AFRE_STOCK_BALANCE,2019-01,205.7466,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-642aca245c6270aa7ec33775d30680c75ef19d30b4d8020415a13a0856ef55d7,artifact-r2-679564f6fe567fe149336b44b3711fabb36ec3f424cc41398657cf705a121909
obs-pbc-b5629c8f321b849b0226878cf87370cedbebe34d671f880f1edcb114873ecaab,MACRO_AFRE_STOCK_BALANCE,2019-02,206.35160000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-07a8c7d8ade6318f2af427738a025c12cfc7a0bdff5ba0fb95d63cd0b816a25a,artifact-r2-4f6526bcc61667e6c87f49d3e5195a53f1ce0cf8811f55aaf0091281017bd9bf
obs-pbc-f2378a5a4250ef98461476787862f433d58024200071c9f1acea0b78299531f9,MACRO_AFRE_STOCK_BALANCE,2019-03,209.0934,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-5348d57609e0388ff387151ae934e65ce089f08d47f5ef99b77054dfa3acced4,artifact-r2-33f1be8b89def4dc23d733b20a720adc112e527790ba5389e656d0b09c577f7c
obs-pbc-f1e8a011a9d689b867d56d86f2f6062bae034ed6b8939e76e4c91749d3662854,MACRO_AFRE_STOCK_BALANCE,2019-04,210.3898,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,1,obs-pbc-c788f3bfc33f4085cc7cbe45f7838f49fa9e4dad9091260fb2ed56e284499704,artifact-r2-e68d91daca90452302c2af3b2fa2e54d0803d6dd9c5b898ac6816637e2fddbdc
